ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13206346,JG419135,09/10/2023 03:00:00 PM,102XX S MAY ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2232,022,21,73,07,1170462,1836869,2023,09/18/2023 03:42:32 PM,41.707848755,-87.651371112,"(41.707848755, -87.651371112)"
13205774,JG418408,09/10/2023 01:54:00 AM,101XX S CALUMET AVE,0810,THEFT,OVER $500,RESIDENCE - GARAGE,false,false,0511,005,9,49,06,1180372,1837727,2023,09/18/2023 03:42:32 PM,41.709982123,-87.615054293,"(41.709982123, -87.615054293)"
13206128,JG418681,09/10/2023 11:45:00 AM,047XX W NORTH AVE,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,false,false,2533,025,37,25,04B,1144295,1910209,2023,09/18/2023 03:42:32 PM,41.909633845,-87.745359528,"(41.909633845, -87.745359528)"
13206339,JG419097,09/10/2023 06:30:00 PM,070XX S PULASKI RD,0460,BATTERY,SIMPLE,DRUG STORE,false,false,0833,008,23,65,08B,1150922,1857430,2023,09/18/2023 03:42:32 PM,41.764674182,-87.722393601,"(41.764674182, -87.722393601)"
13206314,JG418964,09/10/2023 05:00:00 PM,043XX N HAZEL ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,1915,019,46,3,08B,1169474,1929172,2023,09/18/2023 03:42:32 PM,41.961158296,-87.652309344,"(41.961158296, -87.652309344)"
13206194,JG418929,09/10/2023 04:30:00 PM,026XX N MOODY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,2512,025,36,19,14,1134958,1916798,2023,09/18/2023 03:42:32 PM,41.927885355,-87.779503914,"(41.927885355, -87.779503914)"
13206741,JG418689,09/10/2023 12:06:00 PM,006XX E 79TH ST,0620,BURGLARY,UNLAWFUL ENTRY,GROCERY FOOD STORE,false,false,0624,006,6,44,05,1182080,1852773,2023,09/18/2023 03:42:32 PM,41.751230848,-87.608335265,"(41.751230848, -87.608335265)"
13205590,JG418250,09/10/2023 01:40:00 AM,020XX N HALSTED ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,BAR OR TAVERN,false,true,1812,018,43,7,08B,1170626,1913691,2023,09/18/2023 03:42:32 PM,41.918652601,-87.648528687,"(41.918652601, -87.648528687)"
13206230,JG418992,09/10/2023 11:00:00 AM,001XX N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0111,001,42,32,06,1176330,1901649,2023,09/18/2023 03:42:32 PM,41.885481891,-87.627935689,"(41.885481891, -87.627935689)"
13205734,JG418367,09/10/2023 05:30:00 AM,012XX W MONROE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1224,012,34,28,14,1168069,1899698,2023,09/18/2023 03:42:32 PM,41.880310536,-87.658327791,"(41.880310536, -87.658327791)"
13206533,JG419208,09/10/2023 08:57:00 PM,021XX W JARVIS AVE,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,false,false,2424,024,49,1,04B,1160848,1948779,2023,09/18/2023 03:42:32 PM,42.015144378,-87.683476065,"(42.015144378, -87.683476065)"
13205902,JG418535,09/10/2023 10:05:00 AM,071XX S SANGAMON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0733,007,17,68,08B,1171212,1857407,2023,09/18/2023 03:42:32 PM,41.764191537,-87.648025699,"(41.764191537, -87.648025699)"
13207142,JG420006,09/11/2023 12:00:00 AM,038XX W 16TH ST,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,false,false,1014,010,24,29,02,1151181,1891774,2023,09/18/2023 03:42:32 PM,41.858913927,-87.720546675,"(41.858913927, -87.720546675)"
13206685,JG418385,09/10/2023 06:00:00 AM,010XX W 98TH ST,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,2223,022,21,73,08A,1170921,1839783,2023,09/18/2023 03:42:32 PM,41.715835223,-87.6496055,"(41.715835223, -87.6496055)"
13206273,JG418996,09/10/2023 05:12:00 PM,0000X N STATE ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,0112,001,34,32,06,1176365,1900502,2023,09/18/2023 03:42:32 PM,41.88233367,-87.627841791,"(41.88233367, -87.627841791)"
13207244,JG420326,09/10/2023 11:40:00 AM,025XX W FULLERTON AVE,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,false,false,1431,014,1,22,06,1159089,1915867,2023,09/18/2023 03:42:32 PM,41.92486868,-87.690856735,"(41.92486868, -87.690856735)"
13212688,JG426636,09/10/2023 02:00:00 AM,052XX S WOOD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0932,009,16,61,08B,1165233,1870032,2023,09/18/2023 03:42:32 PM,41.798964788,-87.66958304,"(41.798964788, -87.66958304)"
13207436,JG419435,09/10/2023 10:50:00 PM,054XX S BLACKSTONE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0234,002,5,41,14,1186830,1869689,2023,09/18/2023 03:42:32 PM,41.797538646,-87.590393573,"(41.797538646, -87.590393573)"
13205813,JG418426,09/10/2023 07:45:00 AM,056XX S SAWYER AVE,0560,ASSAULT,SIMPLE,RESIDENCE - YARD (FRONT / BACK),true,false,0822,008,14,63,08A,1155676,1867059,2023,09/18/2023 03:42:32 PM,41.791003617,-87.704710717,"(41.791003617, -87.704710717)"
